REG_ENT_ID,RN,REG_ENT_NAME,CNTY_NAME,LATITUDE,LONGITUDE,CITY_NAME,PHYS_LOC_DESC_TXT,DELIV_TXT,CITY_NAME_1,USPS_STATE_CD,ZIP_CD,NEAR_CITY_NAME,LOC_ZIP_TXT
245351082001297,RN100573906,GEHC MVS TCOE MEDICAL IMAGING SERVICE SUPPORT,TARRANT,0,0,ARLINGTON, ,4330 BELTWAY PL STE 300,ARLINGTON,TX,76018, ,76018
739352042001297,RN100574268,JIM DANDY BOXES,TARRANT,0,0,ARLINGTON,"3449 Dalworth, Arlington, TX",3449 DALWORTH ST,ARLINGTON,TX,76011, ,76011
708352142001297,RN100574284,CHANDLERS FINE DRY CLEANERS,TARRANT,0,0,PANTEGO,2400 W PIONEER PKWY STE 100 ARLINGTON TX,2400 W PIONEER PKWY STE 100,PANTEGO,TX,76013,ARLINGTON,76013
377352802001297,RN100574524,BRAND FX BODY KATY ROAD SUITE 2102 KELLER,TARRANT,33,-97,FORT WORTH,715 KATY RD STE 2202 KELLER TX,715 KATY RD STE 2202,FORT WORTH,TX,76244,KELLER,76248
188353132001297,RN100574656,MICA,TARRANT,0,0,HALTOM CITY,"3330 N Beach, Fort Worth, TX",3330 N BEACH ST,HALTOM CITY,TX,76111, ,76111
103353332001297,RN100574706,TARMAC TRANSPORTATION,TARRANT,0,0,FORT WORTH,"3510 N Grove, Fort Worth, TX",3510 N GROVE ST,FORT WORTH,TX,76106, ,76106
46353442001297,RN100574748,COWBOY CLEANERS,TARRANT,0,0,FORT WORTH,"1120 E Berry St, Fort Worth, TX",1120 E BERRY ST,FORT WORTH,TX,76110, ,76110
807353832001297,RN100574920,HUDIBURG CHEVROLET,TARRANT,0,0,FORT WORTH,"7769 Grapevine Hwy, Fort Worth, TX",7769 BOULEVARD 26,FORT WORTH,TX,76180,FORT WORTH,76118
629354132001297,RN100575059,FORT WORTH CLASSIC,TARRANT,0,0,FORT WORTH,"2712 W 6th Street, Fort Worth, TX",2712 W 6TH ST,FORT WORTH,TX,76107, ,76107
550354372001297,RN100575109,ERLER INDUSTRIES,TARRANT,32,-97,FORT WORTH, ,5201 ALLIANCE GATEWAY FWY,FORT WORTH,TX,76177,FORT WORTH,76177
350354722001297,RN100575232,LTV ENERGY PRODUCTS,TARRANT,0,0,ARLINGTON,"1027 Commercial Blvd N, Arlington, TX",1027 COMMERCIAL BLVD N,ARLINGTON,TX,76001, ,76001
282354832001297,RN100575281,SOUTHWEST CUSTOM AIRCRAFT,TARRANT,0,0,GRAND PRAIRIE,"3118 S Great Southwest Pkwy, Grand Prairie, TX",3118 S GREAT SOUTHWEST PKWY,GRAND PRAIRIE,TX,75052, ,75051
241354912001297,RN100575315,ATOMUS LABORATORY,TARRANT,0,0,ARLINGTON,"134 Browning Dr, Arlington, TX",134 BROWNING DR,ARLINGTON,TX,76010, ,76010
213354962001297,RN100575331,FRONTIER PRINTING,TARRANT,0,0,FORT WORTH,"1920 E Lancaster Ave, Fort Worth, TX",1920 E LANCASTER AVE,FORT WORTH,TX,76103, ,76103
106355162001297,RN100575406,JUSTIN INDUSTRIES,TARRANT,0,0,FORT WORTH,"2821 W 7th Street, Fort Worth, TX",2821 W 7TH ST,FORT WORTH,TX,76107, ,73107
95355192001297,RN100575414,COST CUTTER CLEANERS,TARRANT,33,-97,BEDFORD,"1220 Airport Freeway, Suite H, Bedford, TX",1220 AIRPORT FWY STE H,BEDFORD,TX,76022,BEDFORD,76022
437356332001297,RN100575844,ARENDALE FORD SALES,TARRANT,0,0,ARLINGTON,"201 E Division St, Arlington, TX",201 E DIVISION ST,ARLINGTON,TX,76011, ,76011
979357272001297,RN100576164,ENVIRONMENTAL SPEC,TARRANT,0,0,KELLER,"119 Keller Hicks Rd, Keller, TX",119 KELLER HICKS RD,KELLER,TX,76248, ,76248
741357742001297,RN100576339,TUBE PRODUCTS,TARRANT,0,0,FORT WORTH, ,800 BLUE MOUND RD,FORT WORTH,TX,76131, ,76131
573358082001297,RN100576446,CORNING CABLE SYSTEMS,TARRANT,36,-97,FORT WORTH,9275 DENTON HWY,9275 DENTON HWY,FORT WORTH,TX,76244,KELLER,76248
452358262001297,RN100576537,SUPER SHOPS,TARRANT,0,0,GRAND PRAIRIE, ,510 FOUNTAIN PKWY,GRAND PRAIRIE,TX,75050,GRAND PRAIRIE,75050
441358272001297,RN100576545,CONVEYING MACHINERY,TARRANT,33,-97,MANSFIELD,811 S 4TH AVE MANSFIELD TX,811 S 4TH AVE,MANSFIELD,TX,76063,MANSFIELD,76063
284358652001297,RN100576651,TEXAS COIL,TARRANT,0,0,FORT WORTH,"2517 S Riverside Dr, Fort Worth, TX",2517 S RIVERSIDE DR,FORT WORTH,TX,76104, ,76104
243358742001297,RN100576685,TEXAS WESLEYAN,TARRANT,0,0,FORT WORTH,"Wesleyan & Rosedale, Fort Worth, TX", WESLEYAN AND ROSEDALE,FORT WORTH,TX,76105, ,76105
172358862001297,RN100576735,SUPERIOR PLASTICS,TARRANT,0,0,FORT WORTH,"2412 Chester Rd, Fort Worth, TX",2412 CHESTER ST,FORT WORTH,TX,76103, ,76103
883359412001297,RN100576941,SUN CHEMICAL,TARRANT,33,-97,GRAND PRAIRIE,"1505 109th St, Grand Prairie, TX",1505 109TH ST,GRAND PRAIRIE,TX,75050,GRAND PRAIRIE,75050
696359792001297,RN100577089,METROTEX PRESS,TARRANT,33,-97,FORT WORTH,"2821 Cullen St, Fort Worth, TX",2821 CULLEN ST,FORT WORTH,TX,76107,FORT WORTH,76107
631360012001297,RN100577121,WEECO,TARRANT,0,0,BURLESON,"12951 Oak Grove S, Burleson, TX",12951 OAK GROVE RD S,BURLESON,TX,76028,BURLESON,76028
452360332001297,RN100577253,MORTEX,TARRANT,0,0,FORT WORTH,"200 N Rupert St, Fort Worth, TX",200 N RUPERT ST,FORT WORTH,TX,76107, ,76107
219360762001297,RN100577428,DEARING AUTOMOTIVE,TARRANT,0,0,GRAPEVINE,"511 E Wall St, Grapevine, TX",511 E WALL ST,GRAPEVINE,TX,76051, ,76051
754361622001297,RN100577766,DANCO PAINT & FINISHING SYSTEMS,TARRANT,0,0,ARLINGTON,"3216 E Pioneer Pkwy, Arlington, TX",3216 E PIONEER PKWY,ARLINGTON,TX,76010, ,76010
702361722001297,RN100577808,MICA STEELWORKS HALTOM CITY,TARRANT,33,-97,HALTOM CITY,INTERSECTION OF MEACHAM BLVD AND OLD DENTON ROAD,4201 OLD DENTON RD,HALTOM CITY,TX,76117,HALTOM CITY,76117
412362242001297,RN100578004,OPTIGRAPHICS,TARRANT,33,-98,GRAND PRAIRIE,907-935 AVENUE R AKA AVENUE R PROPERTY,907 AVENUE R,GRAND PRAIRIE,TX,75050,GRAND PRAIRIE,75050
249362582001297,RN100578129,CUSTOM AUTOMATICS,TARRANT,0,0,FORT WORTH,"2309 Chester St, Fort Worth, TX",2309 CHESTER ST,FORT WORTH,TX,76103, ,76103
139362792001297,RN100578202,LHOIST NORTH AMERICA HURST TERMINAL,TARRANT,32,-97,HURST, ,3120 S PRECINCT LINE RD,HURST,TX,76053,HURST,76053
120362812001297,RN100578210,STARKE MACHINE,TARRANT,0,0,FORT WORTH, ,2651 WARFIELD ST,FORT WORTH,TX,76106, ,76106
891363272001297,RN100578376,PROLINE COMPRESSOR REBUILDERS,TARRANT,0,0,FORT WORTH,"8912 B S Freeway, Fort Worth, TX",8912 SOUTH FWY STE B,FORT WORTH,TX,76140, ,76140
817363402001297,RN100578434,DAILY LEADER,TARRANT,0,0,FORT WORTH,"5901 Jacqueline, Fort Worth, TX",5901 JACQUELINE RD,FORT WORTH,TX,76112, ,76112
804363412001297,RN100578442,COOK COMPOSITES AND POLYMERS,TARRANT,0,0,ARLINGTON,"3521 Avenue E E, Arlington, TX",3521 AVENUE E E,ARLINGTON,TX,76011, ,76011
575363872001297,RN100578608,ALPINE ENGINEERED PRODUCTS,TARRANT,0,0,GRAND PRAIRIE,"1801 S Great Southwest Pkwy, Grand Prairie, TX",1801 S GREAT SOUTHWEST PKWY,GRAND PRAIRIE,TX,75051, ,75051
528363952001297,RN100578632,ANA-LEKTA,TARRANT,0,0,HALTOM CITY,"4517 Waldemar St, Haltom City, TX",4517 WALDEMAR ST,HALTOM CITY,TX,76117, ,76117
369364262001297,RN100578731,RAYS SHOP,TARRANT,0,0,HALTOM CITY,"3730 28th Street NE, Fort Worth, TX",3730 NE 28TH ST,HALTOM CITY,TX,76111, ,76111
266364432001297,RN100578798,AFFILIATED FOODS FORT WORTH,TARRANT,0,0,FORT WORTH,"522 N Beach Street, Fort Worth, TX",522 N BEACH ST,FORT WORTH,TX,76111, ,76111
202364562001297,RN100578848,SPECIFIED URETHAN SYS,TARRANT,33,-97,GRAND PRAIRIE,"2621 Aero Drive, Grand Prairie, TX",2621 AERO DR,GRAND PRAIRIE,TX,75052,GRAND PRAIRIE,75052
101364732001297,RN100578913,AUTOMOTIVE CENTER OF TEXAS,TARRANT,0,0,FORT WORTH,"2609 White Settlement Rd, Fort Worth, TX",2609 WHITE SETTLEMENT RD,FORT WORTH,TX,76107, ,76107
722365562001297,RN100579168,FOREST HILL CLEANERS,TARRANT,0,0,FOREST HILL,"3162 Mansfield Hwy, Fort Worth, TX",3162 MANSFIELD HWY,FOREST HILL,TX,76119, ,76119
647365682001297,RN100579218,BEDFORD TRUCK REPAIRS,TARRANT,0,0,BEDFORD,"2801 Brasher Ln, Bedford, TX",2801 BRASHER LN,BEDFORD,TX,76021, ,76021
